complexity,r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success
1,0.4999999993943067,203352,0,-0.3072480119298898,-0.3072480119298898,1.0000000048455466,1.0000000048455466,False
3,0.6009558758232051,1752,0,-1.2031443581897638*x2,"mul,x2,-1.2031443581897638",0.4409168224948494,0.4409168224948494,False
5,0.6113400761699623,6,0,x2*(-x1 - 0.832216557716593),"mul,x2,sub,-0.832216557716593,x1",0.40417904087573986,0.40417904087573986,False
7,0.6243106180833079,1,0,x2*(-0.4940388211656856*x4 - 0.98579636729978946),"mul,x2,mul,0.4940388211656856,sub,-1.9953823972249811,x4",0.3621232412273985,0.3621232412273985,False
9,0.6329342270482085,1,0,x2*(-1.7243743019937015*x2*x4 - 0.9458029840212402),"mul,sub,mul,mul,x2,x4,-1.7243743019937015,0.9458029840212402,x2",0.33633388052724084,0.33633388052724084,False
11,0.6374515997290373,1,0,-x2*(2.3372121424730503 - 1.1456494356346032*x5) + x3 + 0.06590418506894055,"sub,x3,sub,mul,x2,sub,2.3372121424730503,mul,x5,1.1456494356346032,0.06590418506894055",0.3234726419432734,0.3234726419432734,False
12,0.6426286807414169,1,0,-x2 + (-x2 + x3 + 0.03311293184815216)*sin(x1),"sub,mul,sin,x1,sub,sub,x3,x2,-0.03311293184815216,x2",0.3092567460762658,0.3092567460762658,False
15,0.64482994302584,1,0,sin(cos(x2*(x1 - x5 + 3.1353345966631614)) - 1.0471055248925196),"sin,sub,cos,mul,add,sub,x1,x5,3.1353345966631614,x2,1.0471055248925196",0.303376752398397,0.303376752398397,False
19,0.6493870759157346,1,0,-2.660977075643556*x2*x5*(tanh(x1) - 0.34755306537674613) - 1.269183169684296*x2,"sub,x2,mul,2.269183169684296,sub,x2,mul,add,-0.34755306537674613,tanh,x1,mul,x2,mul,-1.1726585633075046,x5",0.29150671231473674,0.29150671231473674,False
21,0.6604151948130473,1,0,-0.688056950984875*x2/tanh(-x1 + exp(tanh(x3))),"div,x2,div,tanh,sub,exp,tanh,x3,x1,-0.688056950984875",0.2644005686678968,0.2644005686678968,False
23,0.6833236105855792,1,0,(x1 + 1.9233340359145812*x2)*(-1.196608837348114*x2 + x3 + 0.5903335735474532*tanh(x5) - 0.3855105198180426),"mul,add,mul,tanh,x5,0.5903335735474532,add,mul,-1.196608837348114,add,x2,mul,0.5675995125667953,0.5675995125667953,x3,add,mul,1.9233340359145812,x2,x1",0.2147724223487758,0.2147724223487758,False
26,0.7044276864947246,1,0,-12.998877268957068*x2*((0.9179770538734799 - cos(x1))*(x5 - 0.11999321234397854) + 0.11582702008548874) + 0.20520827148601223*sin(x1),"mul,sub,sin,x1,mul,add,mul,add,sin,-0.12028304533624566,x5,sub,0.9179770538734799,cos,x1,0.11582702008548874,mul,x2,63.3448017218113,0.20520827148601223",0.17605755567466227,0.17605755567466227,False
39,0.7078912657026901,1,0,-x2 + sin(0.4157201699366063*x5 + cos(5.541125906527509*x1*x2 - x2 + sin(sin(x2))) - 1.902050355147852) + 0.6153559330617432,"add,sin,add,cos,sub,mul,mul,x2,x1,5.541125906527509,sub,x2,sin,sin,x2,mul,0.644803975532392,mul,0.6447233356360137,sub,x5,4.575314099957907,sub,sub,exp,0.3552341449977194,0.811158693383211,x2",0.17027699537164656,0.17027699537164656,False
43,0.770297632942794,1,0,-0.718477913404488*sin(x2 + exp((x2*(x1 - 0.0071506789783051476) - 0.22313984329037426)*(17.846171642227574*x5 + 4.4204189624503792*cos(5.893413611783232*x2) - 3.773533288862752)) - 1.354023517750156) - 0.7566633267713094,"add,mul,0.718477913404488,sin,sub,sub,1.418474105092716,add,x2,exp,mul,sub,mul,x2,add,-0.0071506789783051476,x1,0.22313984329037426,sub,mul,add,mul,cos,mul,5.893413611783232,x2,add,0.12384782156837473,0.12384782156837473,x5,17.846171642227574,3.773533288862752,mul,0.2538712022710733,0.2538712022710733,-0.7566633267713094",0.08892294030013605,0.08892294030013605,False
74,0.782216290955275,1,0,-x2 + sin(sin(sin(0.9971854504533057*x2 - cos(2.382686943716206*exp(x2 + x4 - 1.015035699658053*tanh(cos((exp(-x2 + tanh(x2)) + 2.0404610835496486)*(x5 + sin(x1 - 1.6295352192366581) + 0.4970988800706331))))))) - 0.779242865318331) + 0.04528657208070203,"sub,sin,sub,sin,sin,sub,mul,tanh,3.282345981888328,x2,cos,exp,add,x2,add,x4,mul,sub,0.8553677659995491,tanh,cos,mul,add,add,x5,0.4970988800706331,sin,sub,x1,1.6295352192366581,add,exp,sub,tanh,x2,x2,2.0404610835496486,add,0.5075178498290267,0.5075178498290267,0.779242865318331,add,x2,sin,-0.04530206589002981",0.07751701963425615,0.07751701963425615,False
83,0.790898931918198,1,0,-1.595656486222987*x2 - 3.1497680354057707*sin(sin(x5) + 1.024367460610423) + 3.7081122023326046 - 0.41815928028356003/(x2 + tanh(cos(-x5 + 4.777768502536709*sin(x1 + x3 + tanh(0.183090034783009*log(exp(x4))) + 3.6532773022662868) + 8.782545827582757/(exp(x2) + 0.8602610098146644)))),"sub,sub,sub,3.8677160305523692,mul,0.41815928028356003,add,sub,mul,sin,add,0.5121829778953412,add,sin,x5,0.5121844827150814,7.532459959443842,0.05171542439107643,inv,add,tanh,cos,sub,add,mul,sin,add,x1,add,add,1.8266386511331434,1.8266386511331434,add,tanh,mul,0.183090034783009,log,exp,x4,x3,4.777768502536709,mul,inv,add,0.8602610098146644,exp,x2,8.782545827582757,x5,x2,mul,x2,1.595656486222987,exp,-1.7079932312661492",0.06989892945157092,0.06989892945157092,False
109,0.7926878548489068,1,0,x2*(16.153523447276328*x3 + 16.153523447276328*exp(exp(x1 + 1.085204069193592*x2 - 0.915132539023793*x3 - 0.915132539023793*x4)) - 16.153523447276328*tanh(x2 + exp(sin(sin(x2)))) - 0.90634288575875126)*tanh(sin(cos(exp((x5 - 4.198558547266957)*cos(cos(tanh(cos(x3)))) + 0.9594716659477326*exp(tanh(x1))) + 2.78838185690727*sin(tanh(x5)) + 1.7703568524017081) + 2.1773809449022186) - 1.0058839120236855),"mul,x2,mul,mul,16.153523447276328,sub,add,add,add,exp,exp,sub,x1,mul,add,mul,-1.185843605070825,x2,add,x3,x4,0.915132539023793,-0.028054118212760108,x3,-0.02805394320906989,tanh,add,x2,exp,sin,sin,x2,tanh,sub,sin,add,cos,sub,sub,-1.7703568524017081,mul,sin,tanh,x5,2.78838185690727,exp,add,mul,exp,tanh,x1,0.9594716659477326,mul,add,x5,-4.198558547266957,cos,cos,tanh,cos,x3,2.1773809449022186,1.0058839120236855",0.06839826454167834,0.06839826454167834,False
