substance,cos,sin,exp,tan,sqrt,log,square,cube,sinh,cosh
pySR_all_add_features_manual_normalized_n_iter500_1353,0,0,0,0,0,0,0,0,0,0
pySR_w_all_add_features_manual_normalized_n_iter500_0029,0,1,0,0,0,0,0,0,0,0
pySR_all_add_features_manual_normalized_n_iter500_1315,1,0,0,0,0,0,0,0,1,0
pySR_all_add_features_manual_normalized_n_iter500_1340,0,1,0,0,0,0,0,0,0,0
pySR_w_all_add_features_manual_normalized_n_iter500_2330,1,0,0,0,0,0,0,0,0,0
pySR_w_all_add_features_manual_normalized_n_iter500_0016,0,1,1,0,0,0,0,0,0,0
pySR_all_add_features_manual_normalized_n_iter500_1405,1,0,0,0,0,0,0,0,0,0
pySR_w_all_add_features_manual_normalized_n_iter500_0056,0,1,0,0,0,0,0,0,1,0
pySR_all_add_features_manual_normalized_n_iter500_1328,0,1,0,0,0,0,0,0,2,0
pySR_w_all_add_features_manual_normalized_n_iter500_0003,0,0,0,0,0,1,0,0,0,1
